daily_volume,avg_trade_size,trade_count,volume_volatility,min_trade_size,max_trade_size,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,daily_fees,avg_fee_per_trade,daily_tokens_traded,avg_tokens_per_trade,unique_accounts,unique_coins,pnl_ratio,fee_ratio,avg_pnl_per_dollar,volume_efficiency,pnl_per_trade,value,classification,sentiment_normalized,sentiment_change_1d,sentiment_change_7d,sentiment_ma_7d,sentiment_volatility_30d,date
406118.07,4320.405,94,8482.2888,15.04,49991.69,1929.6418,20.5281,60.9982,-268.72,398.0259,62.0551,0.6602,222280.1092,2364.682,2,9,0.004751430421418322,0.00015280063374671721,0.004751430421418322,4320.405,20.52810425531915,76,Extreme Greed,0.52,4.0,2.0,73.42857142857143,8.970193298702865,2024-02-17
157048.17,1619.0533,97,2710.3345,14.44,17953.92,477.6248,4.924,82.7054,-390.9342,325.44,-3.1409,-0.0324,172143.4,1774.6742,1,5,0.003041262878691112,-1.9999595028735763e-05,0.003041262878691112,1619.0532989690723,4.923967010309278,72,Greed,0.44,-4.0,1.0,73.57142857142857,8.912151074887076,2024-02-18
286377.2,2835.4178,101,5221.3288,10.94,38924.6,4317.7686,42.7502,118.6512,-4.68,720.85,14.8526,0.1471,272054.0008,2693.604,2,6,0.015077207435605647,5.186376387981432e-05,0.015077207435605647,2835.417821782178,42.75018415841585,75,Extreme Greed,0.5,3.0,5.0,74.28571428571429,8.960962591971589,2024-02-19
119419.72,3062.0441,39,5064.5777,10.89,17462.4,3263.6288,83.6828,192.3203,-0.0145,918.658,3.0737,0.0788,69782.0004,1789.2821,2,6,0.02732905860698228,2.573862794699e-05,0.02732905860698228,3062.0441025641026,83.68278974358974,72,Greed,0.44,-3.0,-7.0,73.28571428571429,8.985556737623934,2024-02-20
108047.52,4911.2509,22,8191.1745,18.78,38498.4,1858.7986,84.4908,124.4029,0.0,394.6401,2.9706,0.135,171181.54,7780.9791,2,4,0.01720352700334751,2.7493455889273915e-05,0.01720352700334751,4911.250909090909,84.49084545454546,78,Extreme Greed,0.56,6.0,4.0,73.85714285714286,9.182003888166248,2024-02-21
373033.87,4239.0212,88,6029.3294,10.83,36151.83,3894.1051,44.2512,227.5825,-700.6291,1577.5823,25.4526,0.2892,169921.4004,1930.925,2,5,0.010439011866696934,6.823133598481726e-05,0.010439011866696934,4239.02125,44.251194318181824,74,Greed,0.48,-4.0,2.0,74.14285714285714,8.904409342967533,2024-02-22
111106.14,776.966,143,3479.6892,0.74,40759.04,1418.5529,9.92,13.0372,-0.0036,98.3334,-2.0671,-0.0145,43567.4004,304.6671,1,3,0.012767546170936532,-1.860473070122581e-05,0.012767546170936532,776.966013986014,9.91995034965035,76,Extreme Greed,0.52,2.0,4.0,74.71428571428571,8.470978176360076,2024-02-23
4480.13,896.026,5,558.5134,101.38,1440.63,-30.7705,-6.1541,8.9512,-19.6542,0.0,-0.0896,-0.0179,7900.0,1580.0,1,1,-0.006868200547304325,-1.9999375019530637e-05,-0.006868200547304325,896.0260000000001,-6.1541,74,Greed,0.48,2.0,2.0,74.42857142857143,7.4172833270695175,2024-02-25
192187.14,4927.8754,39,10367.3998,30.33,54709.2,4416.8473,113.2525,224.5223,0.0,866.9975,-0.0977,-0.0025,67296.0,1725.5385,2,3,0.022982011544476308,-5.083586493685972e-07,0.022982011544476308,4927.875384615385,113.25249487179488,72,Greed,0.44,-2.0,-3.0,74.0,7.0401965751030176,2024-02-26
209362.3,3323.2111,63,6146.6869,14.65,37951.94,888.5117,14.1034,91.6965,-240.7519,320.7411,-3.7616,-0.0597,117294.88,1861.8235,2,7,0.0042438951882026905,-1.796693970371267e-05,0.0042438951882026905,3323.2111111111108,14.103360317460318,79,Extreme Greed,0.58,7.0,7.0,75.0,6.746305928295943,2024-02-27
171107.13,3802.3807,45,8176.1579,14.68,36907.2,2503.7472,55.6388,130.7531,0.0,833.1419,-1.3772,-0.0306,8904445.6,197876.5689,1,3,0.014632628422168704,-8.048758222479785e-06,0.014632628422168704,3802.380666666667,55.63882666666666,82,Extreme Greed,0.64,3.0,4.0,75.57142857142857,6.576254742388057,2024-02-28
395666.73,3410.9201,116,7058.7195,26.21,49261.8,9813.997,84.6034,149.7682,0.0,791.8178,1.3591,0.0117,7553065.18,65112.6309,2,8,0.024803694644639575,3.4349614526608933e-06,0.024803694644639575,3410.9200862068965,84.6034224137931,80,Extreme Greed,0.6,-2.0,6.0,76.42857142857143,6.5779149825184735,2024-02-29
472974.7,3452.3701,137,7401.5708,0.91,46207.0,8244.2414,60.1769,111.9586,0.0,930.7916,-0.5469,-0.004,25984676.0,189669.1679,1,7,0.017430617801953936,-1.1562986105536172e-06,0.017430617801953936,3452.370072992701,60.17694452554745,80,Extreme Greed,0.6,0.0,4.0,77.0,6.457998693592019,2024-03-01
63197.56,2038.631,31,5902.7349,5.33,27744.0,230.9006,7.4484,250.6478,-343.6513,1190.0808,-0.4691,-0.0151,651733.0,21023.6452,2,4,0.003653630986128106,-7.4227537546143e-06,0.003653630986128106,2038.6309677419354,7.448406451612903,80,Extreme Greed,0.6,0.0,8.0,78.14285714285714,6.435265626076379,2024-03-02
390745.68,4946.1478,79,9107.2805,34.16,49738.5,8361.0862,105.8365,199.824,0.0,1136.8732,-2.5071,-0.0317,48774887.74,617403.6423,1,8,0.021397769480195672,-6.416193611758072e-06,0.021397769480195672,4946.1478481012655,105.83653417721519,83,Extreme Greed,0.66,3.0,9.0,79.42857142857143,6.502784549448862,2024-03-03
1577996.87,5259.9896,300,10703.1051,11.05,58785.6,27799.7757,92.6659,152.8211,-0.0281,1476.8421,-0.5594,-0.0019,36892599.5204,122975.3317,2,15,0.017617129699267844,-3.545000671991189e-07,0.017617129699267844,5259.989566666667,92.66591899999999,82,Extreme Greed,0.64,-1.0,10.0,80.85714285714286,6.257042009819224,2024-03-04
841810.32,4676.724,180,8841.5684,0.25,47769.6,19791.026,109.9501,195.658,0.0,1198.6171,-4.4385,-0.0247,44987293.0,249929.4056,1,5,0.0235100773828708,-5.2725653770487715e-06,0.0235100773828708,4676.724,109.95014444444445,90,Extreme Greed,0.8,8.0,11.0,82.42857142857143,6.430977473476832,2024-03-05
